Last_Name	First_Name	Birth_Date	Gender	Address	Employment_Status	Position	Company	Company_Address	Email	User_Name	Password	Course	Batch
TEMPLA	BERN ANGELO	July 5, 1998	Male	Antequera, Bohol	Full-time	Content Creator	NEC Telecom Software Philippines	Cebu City	templabernangelo@gmail.com	templabernangelo	bernangelo123	BSIT	2018-2019
ALO	JENILYN	January 4, 1999	Female	Sikatuna, Bohol	Full-time	Digital Marketing	Germango Software Services Inc.	Cebu City	alojenilyn@gmail.com	alojenilyn	jenilyn123	BSIT	2018-2019
AÑORA	CLAUDIA MAE	February 2, 2000	Female	Balilihan, Bohol	Full-time	Data Analyst	Jinisys Software Inc.	Cebu City	añoraclaudiamae@gmail.com	añoraclaudiamae	claudiamae123	BSIT	2018-2019
ARANCON	CRISTINE	November 14, 2000	Female	Catigbian, Bohol	Full-time	Testing QA	Legal Match Philippines	Cebu City	aranconcristine@gmail.com	aranconcristine	cristine123	BSIT	2018-2019
ASUFRA	RHEALYN B.	December 19, 2000	Female	Sikatuna, Bohol	Full-time	Computer Programmer	Exists Software Labs, Inc.	Cebu City	asufrarhealynb.@gmail.com	asufrarhealynb.	rhealynb.123	BSIT	2018-2019
BATINGAL	REXALDIE	August 7, 1999	Female	Antequera, Bohol	Full-time	Network Engineer	Start TechUp Inc	Cebu City	batingalrexaldie@gmail.com	batingalrexaldie	rexaldie123	BSIT	2018-2019
BANAL	KHEYCIE	January 4, 1999	Female	Balilihan, Bohol	Full-time	Content Creator	FastTrack Solutions, Inc.	Cebu City	banalkheycie@gmail.com	banalkheycie	kheycie123	BSIT	2018-2019
BANDOY	SHIRLY	December 19, 2000	Female	Balilihan, Bohol	Full-time	Digital Marketing	Monstar Lab Cebu Inc	Cebu City	bandoyshirly@gmail.com	bandoyshirly	shirly123	BSIT	2018-2019
BATUCAN	MITCHELLE ANN	December 19, 2000	Female	Catigbian, Bohol	Full-time	Data Analyst	ASV Business Solution	Cebu City	batucanmitchelleann@gmail.com	batucanmitchelleann	mitchelleann123	BSIT	2018-2019
BOYOSE	ZORAIDA	August 7, 1999	Female	Catigbian, Bohol	Full-time	Testing QA	Nadows IT Services	Cebu City	boyosezoraida@gmail.com	boyosezoraida	zoraida123	BSIT	2019-2020
CABAHUG	GENIRA	January 4, 1999	Female	Catigbian, Bohol	Full-time	Computer Programmer	Syntactics Inc.	Cebu City	cabahuggenira@gmail.com	cabahuggenira	genira123	BSIT	2019-2020
CABASAN	LILIMAE	December 19, 2000	Female	Balilihan, Bohol	Full-time	Network Engineer	1902 Software Development Corporation	Laguna	cabasanlilimae@gmail.com	cabasanlilimae	lilimae123	BSIT	2019-2020
CABIG	TRINITY ROSE	August 7, 1999	Female	Antequera, Bohol	Full-time	System Developer	Cognizant Technology	Taguig	cabigtrinityrose@gmail.com	cabigtrinityrose	trinityrose123	BSIT	2019-2020
CAMANZO	VIRGIE	January 4, 1999	Female	Balilihan, Bohol	Full-time	IT Technician	iRipple, Inc. Philippines	Baguio	camanzovirgie@gmail.com	camanzovirgie	virgie123	BSIT	2019-2020
CASANOVA	MARY JANE	February 2, 2000	Female	Balilihan, Bohol	Full-time	Support Specialist	Alliance Software Incorporated	Cebu City	casanovamaryjane@gmail.com	casanovamaryjane	maryjane123	BSIT	2019-2020
COMIGHOD	JESSICA	November 14, 2000	Female	Sikatuna, Bohol	Full-time	Website Developer	ASV Business Solution	Cebu City	comighodjessica@gmail.com	comighodjessica	jessica123	BSIT	2019-2020
BOOC	FRANKLIN JOSEPH	December 19, 2000	Female	Catigbian, Bohol	Full-time	System Analyst	Nadows IT Services	Cebu City	boocfranklinjoseph@gmail.com	boocfranklinjoseph	franklinjoseph123	BSIT	2019-2020
DANGHIL	STEPHANIE	August 7, 1999	Female	AntequeraBohol	Full-time	System Analyst	NEC Telecom Software Philippines	Cebu City	danghilstephanie@gmail.com	danghilstephanie	stephanie123	BSIT	2019-2020
DAWANG	JESSA	January 4, 1999	Female	Balilihan, Bohol	Full-time	Junior IT	iRipple, Inc. Philippines	Baguio	dawangjessa@gmail.com	dawangjessa	jessa123	BSIT	2019-2020
DECENILLA	CRISSIA MAE	December 19, 2000	Female	Balilihan, Bohol	Full-time	System Developer	Alliance Software Incorporated	Cebu City	decenillacrissiamae@gmail.com	decenillacrissiamae	crissiamae123	BSIT	2019-2020
DUPIT	MARICEL	January 4, 1999	Female	Catigbian, Bohol	Full-time	Content Creator	ASV Business Solution	Cebu City	dupitmaricel@gmail.com	dupitmaricel	maricel123	BSIT	2019-2020
FRANCISCO	LINIE	December 19, 2000	Female	Catigbian, Bohol	Full-time	Digital Marketing	Nadows IT Services	Cebu City	franciscolinie@gmail.com	franciscolinie	linie123	BSIT	2019-2020
FUDERANAN	RICHEL	November 14, 2000	Female	Catigbian, Bohol	Full-time	Data Analyst	NEC Telecom Software Philippines	Cebu City	fuderananrichel@gmail.com	fuderananrichel	richel123	BSIT	2019-2020
GAMBA	MARIEL	December 19, 2000	Female	Balilihan, Bohol	Full-time	Testing QA	Germango Software Services Inc.	Cebu City	gambamariel@gmail.com	gambamariel	mariel123	BSIT	2019-2020
GINGO	GENELYN	August 7, 1999	Female	Antequera, Bohol	Full-time	Computer Programmer	Jinisys Software Inc.	Cebu City	gingogenelyn@gmail.com	gingogenelyn	genelyn123	BSIT	2019-2020
GULLEM	HIDIE	January 4, 1999	Female	Balilihan, Bohol	Full-time	Network Engineer	Legal Match Philippines	Cebu City	gullemhidie@gmail.com	gullemhidie	hidie123	BSIT	2019-2020
HERNANDO	GINA MAE	October 12, 2000	Female	Balilihan, Bohol	Full-time	Content Creator	Exists Software Labs, Inc.	Cebu City	hernandoginamae@gmail.com	hernandoginamae	ginamae123	BSIT	2019-2020
BUCA	FLORENCE JERADE	January 2, 1999	Female	Sikatuna, Bohol	Full-time	Digital Marketing	Start TechUp Inc	Cebu City	bucaflorencejerade@gmail.com	bucaflorencejerade	florencejerade123	BSIT	2019-2020
HUMOC	SOFIA MAE	July 5, 1998	Female	Catigbian, Bohol	Full-time	Data Analyst	FastTrack Solutions, Inc.	Cebu City	humocsofiamae@gmail.com	humocsofiamae	sofiamae123	BSIT	2019-2020
IBARRA	MA CARMENA	July 10, 2000	Female	AntequeraBohol	Full-time	Testing QA	Monstar Lab Cebu Inc	Cebu City	ibarramacarmena@gmail.com	ibarramacarmena	macarmena123	BSIT	2019-2020
ILANDAG	VERONICA	August 7, 1999	Female	Balilihan, Bohol	Full-time	Computer Programmer	ASV Business Solution	Cebu City	ilandagveronica@gmail.com	ilandagveronica	veronica123	BSIT	2019-2020
IPONG	ABEGAEL MAE	December 24, 1999	Female	Balilihan, Bohol	Full-time	Network Engineer	Nadows IT Services	Cebu City	ipongabegaelmae@gmail.com	ipongabegaelmae	abegaelmae123	BSIT	2019-2020
LABIS	MAE	January 4, 1999	Female	Catigbian, Bohol	Full-time	System Developer	Syntactics Inc.	Cebu City	labismae@gmail.com	labismae	mae123	BSIT	2019-2020
LABOR	KIMBERLY ANN	February 2, 2000	Female	Balilihan, Bohol	Full-time	IT Instructor	Start TechUp Inc	Cebu City	laborkimberlyann@gmail.com	laborkimberlyann	kimberlyann123	BSIT	2019-2020
LAGUNA	JUDITH	September 22, 1999	Female	Balilihan, Bohol	Full-time	IT Instructor	FastTrack Solutions, Inc.	Cebu City	lagunajudith@gmail.com	lagunajudith	judith123	BSIT	2019-2020
LAMBAN	ANGELIE	October 12, 2000	Female	Catigbian, Bohol	Full-time	IT Technician	Monstar Lab Cebu Inc	Cebu City	lambanangelie@gmail.com	lambanangelie	angelie123	BSIT	2020-2021
LIBAS	IVY	January 2, 1999	Female	Catigbian, Bohol	Full-time	Support Specialist	ASV Business Solution	Cebu City	libasivy@gmail.com	libasivy	ivy123	BSIT	2020-2021
LIBOT	LOVE LEA	July 5, 1998	Female	Catigbian, Bohol	Full-time	Website Developer	Nadows IT Services	Cebu City	libotlovelea@gmail.com	libotlovelea	lovelea123	BSIT	2020-2021
BUCA	JAKE VINCENT	July 10, 2000	Male	Balilihan, Bohol	Full-time	System Analyst	NEC Telecom Software Philippines	Cebu City	bucajakevincent@gmail.com	bucajakevincent	jakevincent123	BSIT	2020-2021
LOON	CHARITY ANN	August 7, 1999	Female	Antequera, Bohol	Full-time	System Analyst	Germango Software Services Inc.	Cebu City	looncharityann@gmail.com	looncharityann	charityann123	BSIT	2020-2021
LOPENA	HAZEL MAE	December 24, 1999	Female	Balilihan, Bohol	Full-time	Junior IT	Jinisys Software Inc.	Cebu City	lopenahazelmae@gmail.com	lopenahazelmae	hazelmae123	BSIT	2020-2021
MANCHA	JESSEL	January 4, 1999	Female	Balilihan, Bohol	Full-time	System Developer	Legal Match Philippines	Cebu City	manchajessel@gmail.com	manchajessel	jessel123	BSIT	2020-2021
NAMOCO	MA LORAINE	February 2, 2000	Female	Sikatuna, Bohol	Full-time	Content Creator	Exists Software Labs, Inc.	Cebu City	namocomaloraine@gmail.com	namocomaloraine	maloraine123	BSIT	2020-2021
OCAY	ARGELYN	November 14, 2000	Female	Catigbian, Bohol	Full-time	Digital Marketing	Start TechUp Inc	Cebu City	ocayargelyn@gmail.com	ocayargelyn	argelyn123	BSIT	2020-2021
OCAY	DENIE JANE	October 12, 2000	Female	AntequeraBohol	Full-time	Data Analyst	FastTrack Solutions, Inc.	Cebu City	ocaydeniejane@gmail.com	ocaydeniejane	deniejane123	BSIT	2020-2021
PAJO	EMILY	January 2, 1999	Female	Balilihan, Bohol	Full-time	Testing QA	Monstar Lab Cebu Inc	Cebu City	pajoemily@gmail.com	pajoemily	emily123	BSIT	2020-2021
PATAC	ARCELIE	July 5, 1998	Female	Balilihan, Bohol	Full-time	Computer Programmer	1902 Software Development Corporation	Laguna	patacarcelie@gmail.com	patacarcelie	arcelie123	BSIT	2020-2021
PAURNIA	MARY JEAN	July 10, 2000	Female	Catigbian, Bohol	Full-time	Network Engineer	Cognizant Technology	Cebu City	paurniamaryjean@gmail.com	paurniamaryjean	maryjean123	BSIT	2020-2021
RACHO	ANTHONETH ROSE	August 7, 1999	Female	Catigbian, Bohol	Full-time	System Developer	1902 Software Development Corporation	Laguna	rachoanthonethrose@gmail.com	rachoanthonethrose	anthonethrose123	BSIT	2020-2021
BUICO	JUNAIRE EDRIS	December 24, 1999	Female	Catigbian, Bohol	Full-time	Content Creator	Cognizant Technology	Taguig	buicojunaireedris@gmail.com	buicojunaireedris	junaireedris123	BSIT	2020-2021
RASONABLE	ANALIZA	January 4, 1999	Female	Balilihan, Bohol	Full-time	Digital Marketing	iRipple, Inc. Philippines	Baguio	rasonableanaliza@gmail.com	rasonableanaliza	analiza123	BSIT	2020-2021
SALANG	LOIDA	February 2, 2000	Female	Antequera, Bohol	Full-time	Data Analyst	Alliance Software Incorporated	Cebu City	salangloida@gmail.com	salangloida	loida123	BSIT	2020-2021
SUPERA	RUBELYN	August 7, 1999	Female	Balilihan, Bohol	Full-time	Testing QA	ASV Business Solution	Cebu City	superarubelyn@gmail.com	superarubelyn	rubelyn123	BSIT	2020-2021
TAMPARONG	JESSA MAE	December 24, 1999	Female	Balilihan, Bohol	Full-time	Computer Programmer	Nadows IT Services	Cebu City	tamparongjessamae@gmail.com	tamparongjessamae	jessamae123	BSIT	2020-2021
TANJAY	MAE VIL	January 4, 1999	Female	Catigbian, Bohol	Full-time	Data Analyst	NEC Telecom Software Philippines	Cebu City	tanjaymaevil@gmail.com	tanjaymaevil	maevil123	BSIT	2020-2021
TEREC	LESLIE	February 2, 2000	Female	Catigbian, Bohol	Full-time	Testing QA	iRipple, Inc. Philippines	Baguio	terecleslie@gmail.com	terecleslie	leslie123	BSIT	2020-2021
TOLANG	ROSE ANN	November 14, 2000	Female	Catigbian, Bohol	Full-time	Computer Programmer	Alliance Software Incorporated	Cebu City	tolangroseann@gmail.com	tolangroseann	roseann123	BSIT	2020-2021
TOMBIGA	ANNALOU	December 19, 2000	Female	Balilihan, Bohol	Full-time	Network Engineer	ASV Business Solution	Cebu City	tombigaannalou@gmail.com	tombigaannalou	annalou123	BSIT	2020-2021
YBAÑEZ	ABEGAILE JANE	August 7, 1999	Female	Antequera, Bohol	Full-time	IT Instructor	Nadows IT Services	Cebu City	ybañezabegailejane@gmail.com	ybañezabegailejane	abegailejane123	BSIT	2020-2021
CEPE	JHUN JERUM	January 4, 1999	Male	Balilihan, Bohol	Full-time	System Developer	NEC Telecom Software Philippines	Cebu City	cepejhunjerum@gmail.com	cepejhunjerum	jhunjerum123	BSIT	2020-2021
COMIDOY	EUGENIO JR.	December 19, 2000	Male	Balilihan, Bohol	Full-time	Content Creator	Germango Software Services Inc.	Cebu City	comidoyeugeniojr.@gmail.com	comidoyeugeniojr.	eugeniojr.123	BSIT	2020-2021
